text,label
"""WHO continues to support the fight against coronavirus in Syria""",1
"""WHO’s COVID19 technical support to Egypt""",1
First Case of COVID Spreading from a Corpse Found,1
Video tries to show coronavirus is fake and not dangerous.,0
"""WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19)""",1
"""Yes, Wisconsin is the only state where all Republicans opposed coronavirus bill""",1
ÒIn ÔResident EvilÕ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.Ó,0
"AHA Guidance for CPR, Emergency CV Care Amid COVID-19",1
"Coronavirus Daily Digest: April 6, 2020",1
"The novel coronavirus contains ÒpShuttle-SNÓ sequence, proving laboratory origin.",0
Whether microwaving face masks sanitizes them.,0
Stress About COVID-19 Keeping You Awake? 6 Tips for Better Sleep,1
"""Interim Guidelines for Collecting, Handling, and Testing Clinical Specimens from Persons for Coronavirus Disease 2019 (COVID-19)""",1
Why Do Some States Make It Difficult for Children to Get Flu Shots?,1
Cancer Patients Report Delays in Treatment Because of COVID-19,1
The Most Effective Ways to Kill Coronavirus in Your Home,1
Why COVID-19 is Hitting Men Harder Than Women,1
Study: Many Seniors Were Unfazed by COVID Warnings,1
FDA Face Mask and Respirator Policy in COVID-19 (2020),1
Serology Testing for COVID-19,1
Breast cancer and COVID-19: Risks and precautions,1
COVID-19: Defer 'Bread and Butter' Procedure for Thyroid Nodules,1
Two Members of Congress Diagnosed With Coronavirus,1
Posts claim that the speaker of the Winsconsin state assembly Robin Vos wore protective gear that Òelection workers he forced to work É do not have.Ó,0
Digestive Symptoms Tied to Worse COVID-19 Outcomes,1
"COVID-19: Surgical masks may help, but not as first line of defense",1
Tanker train marked with ÒCOVID-19Ó on its side.,0
"The army is patrolling all the streets, towns and villages in Ireland.",0
"NIH clinical trial of hydroxychloroquine, a potential therapy for COVID-19, begins",1
Older Adults,1
What Medications to Get to Prep for a Coronavirus Infection,1
U.S. Has Deadliest Day As Trump Warns About Future,1
Dolly Parton Comforts Kids Amid Pandemic,1
Hair Weaves And Lace Front Wigs Made In China Likely To Contain coronavirus.,0
NCHS Mortality Surveillance Data,1
Why are COVID-19 death rates so hard to calculate? Experts weigh in,1
Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),1
"COVID-19 Daily: HCQ Hospital Protocols, ED Physician Death",1
Has COVID-19 Peaked in the U.S.? Here’s What We Know,1
Big Pharma is behind COVID-19 deaths.,0
COVID-19 and celiac disease: Risks and precautions,1
ÒClorox bottle claimed it could kill (the 2019 coronavirus)É before it was developed.Ó,0
The coronavirus isnÕt new because ÒLysol has it listed as one of the viruses it kills.Ó,0
Rapid COVID-19 Clinical Practice Guidelines (2020),1
"Surge or No Surge, the Midwest Readies for COVID-19",1
Interim Guidance on Management of Coronavirus Disease 2019 (COVID-19) in Correctional and Detention Facilities,1
Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,0
German Physician Explains Alternative Ventilation for COVID-19,1
Blood Pressure Medicines Don’t Increase COVID-19 Risk,1
"20 million Chinese convert to Islam, and coronavirus does not affect Muslims.",0
Silent COVID-19 Cases May Stymie Screening Efforts,1
Here Are 5 Ways Spring-Cleaning Can Make You Healthier,1
Mystery Coronavirus from China: What to Know,1
"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó",0
"""Active Monitoring of Persons Exposed to Patients with Confirmed COVID-19 — United States, January–February 2020""",1
What Airline Customer Service Representatives and Gate Agents Need to Know about COVID-19,1
ÒItÕs actually the safest time to fly.Ó,0
Universal Flu Vaccine Protects Against 6 Influenza Viruses in Mice,1
Does Medicare cover telehealth?,1
"COVID-19 Daily: Ventilator Protocols Questioned, Physician Rights",1
"""Scaling up contract tracing to combat COVID-19 in Kenya""",1
COVID May Trigger 'Cytokine Storm' in Some Cases,1
COVID-19 suppression 'only viable strategy at the current time',1
School Closures May Be Adding to Kids' Waistlines,1
ED Physician at Epicenter of COVID-19 Crisis Lost to Suicide,1
"ÒÔAkiraÕ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the WHO advising Japan to postpone the Olympics because of a pandemic risk.Ó",0
Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,0
Disinfecting your home if someone is sick,1
Pneumonia vaccine: How often and when to seek help,1
"14 points of expert advice about coronavirus, including symptoms, prevention and how it spreads.",0
Resources for State,1
Dallas student celebrating spring break collapses from coronavirus.,0
"Coronavirus Daily Digest: April 10, 2020",1
ÒSo let me get this straight about this virus. ItÕs ÒnewÓ yet it was lab created and patented in 2015 (in development since 03Õ).Ó,0
"ÒThere was no effortÓ to get American experts into China after it announced the coronavirus, and Òwe had one person in-country (and Trump) pulled him out of the country.Ó",0
How Coronavirus Spreads,1
Antiviral Remdesivir Prevents Disease Progression in Monkeys With COVID-19,1
COMMENTARY: Life in Jail Worse During COVID-19,1
ÒYouÕre more likely to die of influenza right nowÓ than the 2019 coronavirus.,0
Animals and Coronavirus Disease 2019 (COVID-19),1
COVID-19 not being blamed for deaths due to unrelated causes.,0
How Lack of Sick Leave in U.S. Can Make Outbreaks Like Coronavirus Worse,1
Ò59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.Ó,0
Coronavirus: Colleges to Empty Dorms for Patients,1
Experimental Drugs May Help Keep COVID-19 Patients Off Ventilators,1
"""OHCHR, IOM, UNHCR and WHO joint press release: the rights and health of refugees, migrants and stateless must be protected in COVID-19 response""",1
"""Support for States, Tribes, Localities and Territories""",1
Considerations for Pharmacies during the COVID-19 Pandemic,1
"Pneumonia and COVID-19: Relationship, risks, and more",1
Heart Patients: Ask About Home-Based Cardiac Rehab,1
COVID-19: Calls to NYC Crisis Hotline Soar,1
"Social Distancing May Be Working, New Study Hints",1
Losing Your Sense of Smell May Be an Early Symptom of COVID-19,1
Bill Gates has access to your DNA and ownership in WHO.,0
National Stockpile Almost Out of PPE,1
COVID-19: Who's Protecting the Protectors?,1
Thieves are handing out chemically doused face masks to knock people out before robbing them.,0
Why It’ll Still Take More Than a Year to Develop a COVID-19 Vaccine,1
How to Protect Yourself,1
Diabetes and Other Conditions Raise COVID-19 Risk,1
Acute Stroke Care During COVID-19: AHA's Emergency Strategy,1
"In the United States, WIC receivers still only get one type of food during a pandemic.",0
COVID-19 and Kindness is Trending,1
COVID-19 Killing Men at Higher Rate in NYC,1
"ÒChurch services canÕt resume until weÕre all vaccinated, says Bill Gates.Ó",0
"COVID-19 Daily: Hospitals Struggle, Revisiting Vent Protocols",1
Nearly 40% of Those Hospitalized for COVID-19 Are Under 55,1
Letter from the Editor: The importance of accurate reporting,1
How Alcohol Can Affect Your Immune System,1
Water Transmission and COVID-19,1
Post says Òsanitizer will do nothing for the coronavirus.Ó,0
"""New Rochelle, New York (Westchester County) Community Mitigation""",1
Staffing Resources,1
Coronavirus Social: Two Digital Tributes and a Celebration,1
Obesity Might Be 'Contagious' Among Teens,1
How to Weather Social Isolation,1
Respuestas a las preguntas más frecuentes,1
'Pink Eye' Often a Symptom of COVID-19,1
NYC Ambulances Won't Take Cardiac Arrest Patients,1
The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,0
ItalyÕs president was caught on camera crying over and regretting countryÕs coronavirus response.,0
The coronavirus scare began after impeachment.,0
"""First ever State of the World’s Nursing report launched amid COVID19 pandemic""",1
FDA OKs 1st Stem Cell Human Trial for COVID-19,1
Calming Your Child's Coronavirus Fears,1
US arrests the man who created Covid-19.,0
ÒSpecial military helicopters will spray pesticide against the coronavirus in the skies all over the country.Ó,0
Coronaviruses: How long can they survive on surfaces?,1
COVID-19 treatment: New findings may bring researchers a step closer,1
"Social media posts attribute a list of points about the novel coronavirus to Johns Hopkins, a leading source of information on the virus.",0
CDC: New cases of novel coronavirus reported in US,1
The WHO coronavirus test Òwas a bad test.Ó,0
Hong Kong Has Spike in Coronavirus Cases,1
"Guidance on Obstetric COVID-19 (ISUOG, 2020)",1
Reducing Stigma,1
U.S. Senator Lindsey Graham says President Trump Òprobably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.Ó,0
FDA Clears Ozanimod (Zeposia) for MS; COVID-19 Delays Launch,1
"""Modes of transmission of virus causing COVID-19: implications for IPC precaution recommendations""",1
Lessons From the HIV Epidemic for the COVID-19 Pandemic,1
"COVID-19 Daily: ID Doc Tests Positive, Young Adults Hit Hard",1
Says 44 US senators Òvoted NOT to send stimulus checks.Ó,0
How the COVID-19 Outbreak Is Affecting Healthcare for People with Cancer,1
COVID-19: Low Risk of Coronavirus Spreading Through Tears,1
says Chicago nurse looking after COVID-19 patients,1
"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó",0
COVID-19 Prompts 'Lifesaving' Policy Change for Opioid Addiction,1
Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks Òeverywhere.Ó,0
Could Robots Be Deployed in Battle With COVID-19?,1
Tweets Show America Following COVID-19 Guidelines,1
People Experiencing Unsheltered Homelessness Interim Guidance,1
Here’s What It’s Like to Live in the Quarantine Zone,1
Says Nancy Pelosi was Òcaught trying to include abortion funding in bill to combat coronavirus.Ó,0
IH mobilizes national innovation initiative for COVID-19 diagnostics,1
"Shortages Looming for Respirators, Masks, Gowns",1
Trump web ad usings misleading edits to create a false picture.,0
"COVID-19 Guidance for Ophthalmologists (AAO, 2020)",1
COVID-19: Mental Health Pros Come to the Aid of Frontline Comrades,1
Freshly boiled garlic water is a cure for coronavirus.,0
Ventilator or Hospice? COVID-19 Strains Care System,1
What WHO advisor David Heymann told us about COVID-19,1
How to stop a coughing attack: Tips and when to seek help,1
Guidelines on Breast Cancer Radiation Therapy during COVID-19 (2020),1
Photo shows coffins from coronavirus outbreak in Italy.,0
Image claims to show dozens of coffins of Italians who have died from COVID-19.,0
Severe COVID-19 Might Injure the Heart,1
COVID-19 Linked to Multiple Cardiovascular Presentations,1
"""Algeria’s COVID-19 hotline props up rapid response""",1
Thousands of Facebook users in the United States are sharing 1-800 numbers that are supposed to help track stimulus payments promised by the federal government under a novel coronavirus economic aid package.,0
"Cardiac Injury Common in COVID-19, Predicts Mortality",1
"Òif your child gets this virus, theyÕre going to the hospital alone in a van with people they donÕt know, to be with people they donÕt know. You will be at home without them in their time of need.Ó",0
Preventing skin damage due to face masks,1
"New coronavirus targets cells in the nose, lungs, and gut",1
COMMENTARY: Prioritizing Ambulatory Gynecology Care During COVID-19: The Latest Guidance,1
"Facebook posts shared thousands of times feature a video of U.S. officials talking to reporters, with captions claiming they are announcing the arrest of a Chinese scientist.",0
Coronavirus (COVID-19) and lupus: Risks and precautions,1
Is It Allergies or COVID-19?,1
Could Climate Change Make Flu Seasons Worse?,1
Experts draw attention to the 'hidden sorrows' of COVID-19 and Parkinson’s,1
"On the Front Line, COVID Has Them Scared to Go Home",1
"""Novel coronavirus could live up to 3 days, depending on the surface""",1
Video claiming you canÕt catch coronavirus.,0
COVID-19: The Immune System Can Fight Back,1
Surgeon General: This Week Is ‘Our Pearl Harbor',1
Coronavirus may spread faster than WHO estimate,1
DIY Masks: Worth the Risk? Researchers Are Conflicted,1
"""NC absentee ballots require 2 witnesses. Is that unique?""",1
"That the China-centered coronavirus had infected 2.8 million people and killed 112,000.",0
ÒCoronavirus Ñ 22. Clintons Ñ 39.Ó,0
App-based contact tracing may significantly reduce pandemic spread,1
TrumpÕs effort to blame Obama for sluggish coronavirus testing.,0
Could Your Fitbit Help Detect the Flu?,1
COVIDView Weekly Summary,1
"Doctor With COVID-19 Recovering After Treatment, ""Lot of Luck""",1
Man Fights to Get Family Out of China Amid Outbreak,1
COVID-19: More Hydroxychloroquine Data From France,1
What to Know About Coronavirus If You Have Asthma,1
Information for Health Departments on Reporting Cases of COVID-19,1
"""CDC Issues Domestic Travel Advisory for New York, New Jersey, and Connecticut""",1
Higher Mortality Rate in Ventilated COVID-19 Patients,1
Public Health Leadership Paramount to Emerging Coronavirus Pandemic,1
TrumpÕs claim that he imposed the first travel ban on China.,0
Public Health Communicators: Get Your Community Ready,1
Think You Have the Coronavirus? Here’s What to Do Next,1
"""Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) — United States, February 12–March 16, 2020""",1
NIH study validates decontamination methods for re-use of N95 respirators,1
Healthy Living at Home to Ward Off Coronavirus,1
Canceled Blood Drives Lead to ‘Severe’ Shortage,1
"""Eradicating dracunculiasis: Ethiopia investigates six suspected human cases in Gambella region""",1
Want to Help COVID-19 Researchers? You Don’t Have to Leave Your Living Room,1
"""WHO Europe: preventing COVID-19 spread in prisons""",1
"ÒIn Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.Ó",0
More Medical Conferences Fall to Coronavirus,1
If Florida banned alcohol sales due to coronavirus.,0
"""President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.""",0
What is the best way to disinfect your phone?,1
"""World Tuberculosis Day 2020""",1
COVID-19 Can Trigger Serious Heart Injuries,1
5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.,0
Commentary: Novel Coronavirus (2019-nCoV): FAQs for Clinicians,1
Nevada Governor Steve Sisolak Òhas banned the use of an anti-malaria drug that might help cure coronavirus.Ó,0
High-rise buildings have become human incinerators to combat the spread of the coronavirus.,0
Small Study Analyzes Italy Coronavirus Deaths,1
"COVID-19 Daily: Return-to-Work Guidelines, Tips From Frontline Docs",1
"""CDC Grows SARS-CoV-2, the virus that causes COVID-19, in Cell Culture""",1
Experts Warning: Don’t Use Off-Label Medications for COVID-19 Treatment,1
"‘I have never seen anything like this,’ says New York City doctor about COVID-19",1
"Mayo Clinic to advise Hilton on cleaning program protocol, training",1
Risk of Death from COVID-19 Four Times Greater for Those with Diabetes,1
"ÒChina is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and thatÕs why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.Ó",0
A post says the coronavirus can be slowed or stopped with the Òimmediate widespread use of high doses of vitamin C.Ó,0
"COVID-19 Daily: Hospital Mortality Data, Drug Trial Raises Eyebrows",1
"Coronavirus Daily Digest: March 27, 2020",1
"""Meeting Postponement: Preparing Together: Keeping the World Safe, Protecting Economies, Connecting Nations""",1
COVID-19 and Diabetes: Known Mechanisms and a 'New Beast'?,1
Scammers Taking Advantage of N95 Mask Shoratge,1
Training for Healthcare Professionals,1
Coronavirus Has Killed Thousands at Nursing Homes,1
How COVID-19 affects domestic violence rates,1
COMMENTARY: COVID-19 Diary Day 1: Something Wicked This Way Comes,1
"Says a photo shows the ÒSAME EXACT PEOPLEÓ at Òtwo different beachesÓ in Los Angeles County and Jacksonville, Florida.",0
The Chinese Communist Party Òwill finally admit that the real source of the coronavirus is from Ôa lab in WuhanÕ linked to its covert biological weapon programs.Ó,0
How the COVID-19 Outbreak in the U.S. May Unfold in the Coming Days,1
Situation Summary,1
"As of 3/7/20, Tanzania and Zambia had confirmed fist cases of the new coronavirus.",0
Institutes of Higher Education Checklist,1
What can be done to stop the spread of viruses?,1
"""An online platform for COVID-19 guidance and research for the Americas region""",1
Social Media Toolkit,1
Letter from the Editor: Keeping hope,1
Martial law is imminent in United States.,0
Lawmakers Reach Deal on Coronavirus Relief Package,1
Forget the Toilet Seat — Shower Curtains Have Most Germs in Your Bathroom,1
Johnson & Johnson to Test COVID Vaccine Candidate,1
"The coronavirus Òsnuck up on us,Ó adding that it is Òa very unforeseen thing.Ó",0
Does vaping reduce your chances of getting the coronavirus?,0
ÒDonald Trump would receive $17 million for three hotels closed for four days under Republican bill! How in the hell is this right?!Ó,0
Coronavirus is in Des Moines. (Jan. 29),0
"Cough, Fever, Fatigue? Head to CDC's Online Coronavirus Symptom Checker",1
SARS-CoV-2 may affect more children than scientists initially thought,1
Additional Training Objectives,1
Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers,1
20% of US COVID-19 Deaths Were Young Adults,1
COVID-19 and bronchitis: Risks and precautions,1
FDA Warns to Watch for Fake COVID-19 Tests,1
Cautionary Tale Spurs 'World's First' COVID-19 Psychiatric Ward,1
No Benefit Found in Using Broad-Spectrum Antibiotics as Initial Pneumonia Treatment,1
Most of Georgia’s COVID-19 Hospitalized Are Black,1
"Record High Flu Hospitalization Rates for Young Kids, Young Adults",1
"""WHO works with countries from the South-East Asia Region""",1
Blood Clots Are Another Dangerous COVID-19 Mystery,1
Other At-Risk Populations,1
"USMLE Tests Resume May 1, Sparking Student Concerns",1
Why returning to the COVID-19 front line is so difficult for doctors,1
IDSA Guidelines for Management of COVID-19 (2020),1
COVID-19: Dramatic Changes to Telepsychiatry Rules and Regs,1
It’s Too Early to Know If Hydroxychloroquine Will Help Treat People with COVID-19,1
"Flu Season 2019: Cases Top 5 Million, Infections May Increase Over the Holidays",1
"Flu shots pros and cons: Benefits, risks, and safety",1
Cristiano Ronaldo is turning his hotels into hospitals to fight coronavirus.,0
"Coronavirus Daily Digest: April 17, 2020",1
"""New Ebola case confirmed in the Democratic Republic of the Congo""",1
Cardiac Arrests Out-of-Hospital Soar During COVID-19 in Italy,1
Can the Flu Shot Help Fight Cancer?,1
COVID-19 and Cruise Ship Travel,1
Global COVID-19,1
The Food and Drug Administration (FDA) authorized BodysphereÕs two-minute COVID-19 testing kit.,0
Strategies for Optimizing the Supply of N95 Respirators: Contingency Capacity Strategies,1
"""Most NC legislators in 'high risk age group' for coronavirus""",1
Coronavirus Ravages New Orleans Retirement Home,1
Michigan governor violated social distancing order while signing stay-at-home order.,0
"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó",0
Hospitals Update Hydroxychloroquine Protocols After FDA Warning,1
Do I Have COVID-19? Doctors’ Free Tools May Tell,1
"""WHO releases guidelines to help countries maintain essential health services during the COVID-19 pandemic""",1
Happy Hours: More People Drinking While Working from Home During COVID-19,1
"Coronavirus Is Aerosolized Through Talking, Exhalation",1
ÒMichigan Governor Gretchen Whitmer bans buying US flags during lockdown.Ó,0
Does Your Blood Type Increase Your Risk for Coronavirus?,1
Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),1
Florida man is arrested for robbery using cough as a weapon.,0
SARS-CoV-2 may be here to stay,1
"Coronavirus: 81% of cases are mild, study says",1
Hand washing advice for people with skin conditions,1
CDC admitted to lying about COVID-19 death stats.,0
NCHS Mortality Surveillance Data,1
"ÒWeÕve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.Ó",0
"Speaking of his restriction on travel from China, President Donald Trump claims",0
Some COVID-19 Patients Still Have Coronavirus After Symptoms Disappear,1
CMS Chief Says $81B Released in Accelerated Payments for COVID-19,1
Interim Guidance for Collection and Submission of Postmortem Specimens from Deceased Persons Under Investigation (PUI) for COVID-19,1
Preventing the Spread of Coronavirus Disease 2019 in Homes and Residential Communities,1
Are there any home remedies for pneumonia?,1
COMMENTARY: COVID-19 Diary Day 5: Facing Deployment,1
"""COVID-19 medical supply to Afghanistan""",1
ÒAnybody that wants a test (for the coronavirus) can get a test.Ó,0
"HIV and COVID-19: Risks, Concerns, and the Best Way to Protect Yourself",1
Patents mean deadly diseases and viruses were created or invented in a lab.,0
Considerations for Providing Hemodialysis to Patients with Suspected or Confirmed COVID-19 in Acute Care Settings,1
"CMS Loosens Telehealth, Clinician Scope-of-Practice Rules",1
COVID-19: Medical Students Await Emergency Arrangements,1
"Man Recovers from COVID-19, Leaves Sweet Thanks",1
TrumpÕs claims about how quickly WHO acted to announce human-to-human transmission,0
FAQs for Event Organizers & Individuals,1
"Social media posts recommend tonic water and zinc as a cure for a novel coronavirus infection, as the drink contains quinine, whose synthetic relative hydroxychloroquine is on trial as a COVID-19 treatment.",0
Coronavirus Drives Island City to Shelter in Place,1
COVID-19: Global weekend update (March 21–22),1
Flu Drug Works Vs. Coronavirus: Chinese Study,1
Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,0
Vitamin C can ÒstopÓ the new coronavirus.,0
Migraine and COVID-19: Management and link,1
Coronavirus Disease 2019 Information for Travel (New Travel Alerts),1
Nanoparticles Produced from Burning Coal Result in Damage to Mice Lungs,1
ÒWe inherited a broken testÓ for COVID-19.,0
Communication Materials,1
CDC Confirms Second U.S. Coronavirus Case,1
"COVID-19 Daily: Ground Zero Hospital, PPE Fights",1
"COVID-19: Striking Uptick in Anxiety, Other Psych Meds",1
Retirement Communities and Independent Living Facilities,1
COVID-19-Related Phone Scams and Phishing Attacks,1
Hashtag Medicine: Coronavirus Fear Goes Viral on Social Media,1
"""Updated WHO Information Note: Ensuring continuity of TB services during the COVID-19 pandemic""",1
SARS-CoV-2: How a person's immune system defeated the virus,1
Steps Healthcare Facilities Can Take Now to Prepare for Coronavirus Disease 2019 (COVID-19),1
"The new coronavirus was not man-made, study shows",1
New study questions the effectiveness of masks against SARS-CoV-2,1
Gloves Won’t Reduce Your Risk of COVID-19 at the Grocery Store: Here’s What Will,1
"COVID-19 Daily: US HCW Infections and Deaths, CPR Guidance",1
There Isn’t Enough Medical Gear for Doctors and Nurses: What People Are Doing to Help,1
"""WHO and Iraq: Stepping up detection and response""",1
Frequently Asked Questions about Laboratory Biosafety and SARS-CoV-2,1
COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.,0
Could COVID-19 impact great apes?,1
Disinfecting Your Facility if Someone is Sick,1
Interim Guidance for Administrators of US Institutions of Higher Education,1
"President Donald Trump tweeted, ÒCoronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions",0
Healthcare Infection Prevention and Control FAQs for COVID-19,1
"Coronavirus Striking Plenty of Young People, Too",1
First Case of Encephalitis Linked to COVID-19 Reported,1
FAQs for Administrators and Leaders at Community- and Faith-Based Organizations,1
An image shows Senate Minority Leader Chuck Schumer criticizing President TrumpÕs restrictions on foreign nationals traveling to the U.S. from China.,0
Trending Clinical Topic: Pandemic,1
UV Light Might Disinfect Scarce Medical Gear,1
Authorities have identified that the international chemical-warfare terrorist ÔSamuel Whitcomb HydeÕ is behind the deadly China Ôcoronavirus.ÕÓ,0
Coronavirus Is Bad but US Flu's New Numbers Still Far Worse,1
ÒPeople are going door to door in Colorado Springs stating they are COVID-19 testing so they can rob people!Ó,0
COVID-19 Drug Testing: Where We Stand,1
Discussing COVID-19 and hypertension,1
How Do You Choose Who Gets a Ventilator?,1
WHO and European Investment Bank strengthen efforts to combat COVID-19 and build resilient health systems to face future pandemics,1
Kaiser's COVID-19 Chief Shares Surge Strategies,1
Portable Lab You Plug Into Your Phone Can Diagnose Illnesses Like Coronavirus,1
Joe Biden tested positive for coronavirus.,0
Self-Isolating? Learn Something With These Freebies,1
How to Build Daily and Weekly Routines as Shelter-in-Place Drags On,1
AmazonÕs Alexa says the government released the coronavirus.,0
Massachusetts Community Mitigation,1
How COVID-19 Could Affect Kids’ Long-Term Social Development,1
COVID-19: Scientists Find Promising First Step in Antiviral Treatment,1
Mayo Clinic introduces skill for Amazon’s Alexa about COVID-19,1
A photo shows South Carolina after stay-at-home orders were announced.,0
How a Chat App Can Help Relieve Loneliness During the COVID-19 Outbreak,1
"Neurologic Symptoms and COVID-19: What's Known, What Isn't",1
Resources for Parks and Recreational Facilities,1
U.S. State and Local Public Health Laboratories Reporting to CDC,1
How Mild COVID-19 Symptoms Can Quickly Turn Serious,1
Allocating ventilators during COVID-19: What is 'fair'?,1
Sore throat: Allergy or cold? Plus treatment and prevention,1
"""Azerbaijan steps up COVID-19 preparedness and readiness measures""",1
What to Know as Flu Season Nears Peak,1
Children will be separated from parents for coronavirus treatment.,0
COMMENTARY: NYU Med Student Joins COVID Fight: 'Time to Step Up',1
"ÓAmerica has been vaccinating cattle for coronavirus for years, yet the news tells you itÕs new and going to kill you all, so go buy a mask.Ó",0
Faulty blood clotting mechanism may explain COVID-19 severity,1
Here’s What You Should Do If You Have a ‘Mild’ Case of COVID-19,1
"The coronavirus was called a ÒplagueÓ by the WHO; 2.9 million were infected and 950,680 died.",0
