text,label,clean_text
FDA Face Mask and Respirator Policy in COVID-19 (2020),1,fda face mask respirator policy covid
Serology Testing for COVID-19,1,serology testing covid
Breast cancer and COVID-19: Risks and precautions,1,breast cancer covid risks precautions
COVID-19: Defer 'Bread and Butter' Procedure for Thyroid Nodules,1,covid defer bread butter procedure thyroid nodules
Two Members of Congress Diagnosed With Coronavirus,1,two members congress diagnosed coronavirus
Posts claim that the speaker of the Winsconsin state assembly Robin Vos wore protective gear that Òelection workers he forced to work É do not have.Ó,0,posts claim speaker winsconsin state assembly robin vos wore protective gear election workers forced work
Digestive Symptoms Tied to Worse COVID-19 Outcomes,1,digestive symptoms tied worse covid outcomes
"COVID-19: Surgical masks may help, but not as first line of defense",1,covid surgical masks may help first line defense
Tanker train marked with ÒCOVID-19Ó on its side.,0,tanker train marked covid side
"The army is patrolling all the streets, towns and villages in Ireland.",0,army patrolling streets towns villages ireland
"NIH clinical trial of hydroxychloroquine, a potential therapy for COVID-19, begins",1,nih clinical trial hydroxychloroquine potential therapy covid begins
Older Adults,1,older adults
What Medications to Get to Prep for a Coronavirus Infection,1,medications get prep coronavirus infection
U.S. Has Deadliest Day As Trump Warns About Future,1,us deadliest day trump warns future
Dolly Parton Comforts Kids Amid Pandemic,1,dolly parton comforts kids amid pandemic
Hair Weaves And Lace Front Wigs Made In China Likely To Contain coronavirus.,0,hair weaves lace front wigs made china likely contain coronavirus
NCHS Mortality Surveillance Data,1,nchs mortality surveillance data
Why are COVID-19 death rates so hard to calculate? Experts weigh in,1,covid death rates hard calculate experts weigh
Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),1,emergency department visits percentage visits covidlike illness cli influenzalike illness ili
"COVID-19 Daily: HCQ Hospital Protocols, ED Physician Death",1,covid daily hcq hospital protocols ed physician death
Has COVID-19 Peaked in the U.S.? Here’s What We Know,1,covid peaked us heres know
Big Pharma is behind COVID-19 deaths.,0,big pharma behind covid deaths
COVID-19 and celiac disease: Risks and precautions,1,covid celiac disease risks precautions
ÒClorox bottle claimed it could kill (the 2019 coronavirus)É before it was developed.Ó,0,clorox bottle claimed could kill coronavirus developed
The coronavirus isnÕt new because ÒLysol has it listed as one of the viruses it kills.Ó,0,coronavirus isnt new lysol listed one viruses kills
Rapid COVID-19 Clinical Practice Guidelines (2020),1,rapid covid clinical practice guidelines
"Surge or No Surge, the Midwest Readies for COVID-19",1,surge surge midwest readies covid
Interim Guidance on Management of Coronavirus Disease 2019 (COVID-19) in Correctional and Detention Facilities,1,interim guidance management coronavirus disease covid correctional detention facilities
Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,0,says michigan covid order bans gardening sale vegetable seeds fruit
German Physician Explains Alternative Ventilation for COVID-19,1,german physician explains alternative ventilation covid
Blood Pressure Medicines Don’t Increase COVID-19 Risk,1,blood pressure medicines dont increase covid risk
"20 million Chinese convert to Islam, and coronavirus does not affect Muslims.",0,million chinese convert islam coronavirus affect muslims
Silent COVID-19 Cases May Stymie Screening Efforts,1,silent covid cases may stymie screening efforts
Here Are 5 Ways Spring-Cleaning Can Make You Healthier,1,ways springcleaning make healthier
Mystery Coronavirus from China: What to Know,1,mystery coronavirus china know
"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó",0,trump claims decision president governors open states
"""Active Monitoring of Persons Exposed to Patients with Confirmed COVID-19 — United States, January–February 2020""",1,active monitoring persons exposed patients confirmed covid united states januaryfebruary
What Airline Customer Service Representatives and Gate Agents Need to Know about COVID-19,1,airline customer service representatives gate agents need know covid
ÒItÕs actually the safest time to fly.Ó,0,actually safest time fly
Universal Flu Vaccine Protects Against 6 Influenza Viruses in Mice,1,universal flu vaccine protects influenza viruses mice
Does Medicare cover telehealth?,1,medicare cover telehealth
"COVID-19 Daily: Ventilator Protocols Questioned, Physician Rights",1,covid daily ventilator protocols questioned physician rights
"""Scaling up contract tracing to combat COVID-19 in Kenya""",1,scaling contract tracing combat covid kenya
COVID May Trigger 'Cytokine Storm' in Some Cases,1,covid may trigger cytokine storm cases
COVID-19 suppression 'only viable strategy at the current time',1,covid suppression viable strategy current time
School Closures May Be Adding to Kids' Waistlines,1,school closures may adding kids waistlines
ED Physician at Epicenter of COVID-19 Crisis Lost to Suicide,1,ed physician epicenter covid crisis lost suicide
"ÒÔAkiraÕ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the WHO advising Japan to postpone the Olympics because of a pandemic risk.Ó",0,akira movie apocalyptic event taking place months tokyo olympics showing advising japan postpone olympics pandemic risk
Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,0,empty hospital lots waiting rooms indicative coronavirus hoax
Disinfecting your home if someone is sick,1,disinfecting home someone sick
Pneumonia vaccine: How often and when to seek help,1,pneumonia vaccine often seek help
"14 points of expert advice about coronavirus, including symptoms, prevention and how it spreads.",0,points expert advice coronavirus including symptoms prevention spreads
Resources for State,1,resources state
Dallas student celebrating spring break collapses from coronavirus.,0,dallas student celebrating spring break collapses coronavirus
"Coronavirus Daily Digest: April 10, 2020",1,coronavirus daily digest april
ÒSo let me get this straight about this virus. ItÕs ÒnewÓ yet it was lab created and patented in 2015 (in development since 03Õ).Ó,0,let get straight virus new yet lab created patented development since
"ÒThere was no effortÓ to get American experts into China after it announced the coronavirus, and Òwe had one person in-country (and Trump) pulled him out of the country.Ó",0,effort get american experts china announced coronavirus one person incountry trump pulled country
How Coronavirus Spreads,1,coronavirus spreads
Antiviral Remdesivir Prevents Disease Progression in Monkeys With COVID-19,1,antiviral remdesivir prevents disease progression monkeys covid
COMMENTARY: Life in Jail Worse During COVID-19,1,commentary life jail worse covid
ÒYouÕre more likely to die of influenza right nowÓ than the 2019 coronavirus.,0,youre likely die influenza right coronavirus
Animals and Coronavirus Disease 2019 (COVID-19),1,animals coronavirus disease covid
COVID-19 not being blamed for deaths due to unrelated causes.,0,covid blamed deaths due unrelated causes
How Lack of Sick Leave in U.S. Can Make Outbreaks Like Coronavirus Worse,1,lack sick leave us make outbreaks like coronavirus worse
Ò59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.Ó,0,people die pastor gives dettol drink church prevent coronavirus
Coronavirus: Colleges to Empty Dorms for Patients,1,coronavirus colleges empty dorms patients
Experimental Drugs May Help Keep COVID-19 Patients Off Ventilators,1,experimental drugs may help keep covid patients ventilators
"""OHCHR, IOM, UNHCR and WHO joint press release: the rights and health of refugees, migrants and stateless must be protected in COVID-19 response""",1,ohchr iom unhcr joint press release rights health refugees migrants stateless must protected covid response
"""Support for States, Tribes, Localities and Territories""",1,support states tribes localities territories
Considerations for Pharmacies during the COVID-19 Pandemic,1,considerations pharmacies covid pandemic
"Pneumonia and COVID-19: Relationship, risks, and more",1,pneumonia covid relationship risks
Heart Patients: Ask About Home-Based Cardiac Rehab,1,heart patients ask homebased cardiac rehab
COVID-19: Calls to NYC Crisis Hotline Soar,1,covid calls nyc crisis hotline soar
"Social Distancing May Be Working, New Study Hints",1,social distancing may working new study hints
Losing Your Sense of Smell May Be an Early Symptom of COVID-19,1,losing sense smell may early symptom covid
Bill Gates has access to your DNA and ownership in WHO.,0,bill gates access dna ownership
National Stockpile Almost Out of PPE,1,national stockpile almost ppe
COVID-19: Who's Protecting the Protectors?,1,covid whos protecting protectors
Thieves are handing out chemically doused face masks to knock people out before robbing them.,0,thieves handing chemically doused face masks knock people robbing
Why It’ll Still Take More Than a Year to Develop a COVID-19 Vaccine,1,itll still take year develop covid vaccine
How to Protect Yourself,1,protect
Diabetes and Other Conditions Raise COVID-19 Risk,1,diabetes conditions raise covid risk
Acute Stroke Care During COVID-19: AHA's Emergency Strategy,1,acute stroke care covid ahas emergency strategy
"In the United States, WIC receivers still only get one type of food during a pandemic.",0,united states wic receivers still get one type food pandemic
COVID-19 and Kindness is Trending,1,covid kindness trending
COVID-19 Killing Men at Higher Rate in NYC,1,covid killing men higher rate nyc
"ÒChurch services canÕt resume until weÕre all vaccinated, says Bill Gates.Ó",0,church services cant resume vaccinated says bill gates
"COVID-19 Daily: Hospitals Struggle, Revisiting Vent Protocols",1,covid daily hospitals struggle revisiting vent protocols
Nearly 40% of Those Hospitalized for COVID-19 Are Under 55,1,nearly hospitalized covid
Letter from the Editor: The importance of accurate reporting,1,letter editor importance accurate reporting
How Alcohol Can Affect Your Immune System,1,alcohol affect immune system
Water Transmission and COVID-19,1,water transmission covid
Post says Òsanitizer will do nothing for the coronavirus.Ó,0,post says sanitizer nothing coronavirus
"""New Rochelle, New York (Westchester County) Community Mitigation""",1,new rochelle new york westchester county community mitigation
Staffing Resources,1,staffing resources
Coronavirus Social: Two Digital Tributes and a Celebration,1,coronavirus social two digital tributes celebration
Obesity Might Be 'Contagious' Among Teens,1,obesity might contagious among teens
How to Weather Social Isolation,1,weather social isolation
Respuestas a las preguntas más frecuentes,1,respuestas las preguntas ms frecuentes
'Pink Eye' Often a Symptom of COVID-19,1,pink eye often symptom covid
NYC Ambulances Won't Take Cardiac Arrest Patients,1,nyc ambulances wont take cardiac arrest patients
The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,0,covid virus cannot spread areas sprayed eucalyptus oil vapor
ItalyÕs president was caught on camera crying over and regretting countryÕs coronavirus response.,0,italys president caught camera crying regretting countrys coronavirus response
The coronavirus scare began after impeachment.,0,coronavirus scare began impeachment
"""First ever State of the World’s Nursing report launched amid COVID19 pandemic""",1,first ever state worlds nursing report launched amid covid pandemic
FDA OKs 1st Stem Cell Human Trial for COVID-19,1,fda oks st stem cell human trial covid
Calming Your Child's Coronavirus Fears,1,calming childs coronavirus fears
US arrests the man who created Covid-19.,0,us arrests man created covid
ÒSpecial military helicopters will spray pesticide against the coronavirus in the skies all over the country.Ó,0,special military helicopters spray pesticide coronavirus skies country
Coronaviruses: How long can they survive on surfaces?,1,coronaviruses long survive surfaces
COVID-19 treatment: New findings may bring researchers a step closer,1,covid treatment new findings may bring researchers step closer
"Social media posts attribute a list of points about the novel coronavirus to Johns Hopkins, a leading source of information on the virus.",0,social media posts attribute list points novel coronavirus johns hopkins leading source information virus
CDC: New cases of novel coronavirus reported in US,1,cdc new cases novel coronavirus reported us
The WHO coronavirus test Òwas a bad test.Ó,0,coronavirus test bad test
Hong Kong Has Spike in Coronavirus Cases,1,hong kong spike coronavirus cases
"Guidance on Obstetric COVID-19 (ISUOG, 2020)",1,guidance obstetric covid isuog
Reducing Stigma,1,reducing stigma
U.S. Senator Lindsey Graham says President Trump Òprobably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.Ó,0,us senator lindsey graham says president trump probably knows medicine specifically viruses socalled scientists nih cdc
FDA Clears Ozanimod (Zeposia) for MS; COVID-19 Delays Launch,1,fda clears ozanimod zeposia ms covid delays launch
"""Modes of transmission of virus causing COVID-19: implications for IPC precaution recommendations""",1,modes transmission virus causing covid implications ipc precaution recommendations
Lessons From the HIV Epidemic for the COVID-19 Pandemic,1,lessons hiv epidemic covid pandemic
"COVID-19 Daily: ID Doc Tests Positive, Young Adults Hit Hard",1,covid daily id doc tests positive young adults hit hard
Says 44 US senators Òvoted NOT to send stimulus checks.Ó,0,says us senators voted send stimulus checks
How the COVID-19 Outbreak Is Affecting Healthcare for People with Cancer,1,covid outbreak affecting healthcare people cancer
COVID-19: Low Risk of Coronavirus Spreading Through Tears,1,covid low risk coronavirus spreading tears
says Chicago nurse looking after COVID-19 patients,1,says chicago nurse looking covid patients
"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó",0,covid covid folks would think people charged world health organization facts figures would top
COVID-19 Prompts 'Lifesaving' Policy Change for Opioid Addiction,1,covid prompts lifesaving policy change opioid addiction
Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks Òeverywhere.Ó,0,says covid remains air eight hours everyone required wear masks everywhere
Could Robots Be Deployed in Battle With COVID-19?,1,could robots deployed battle covid
Tweets Show America Following COVID-19 Guidelines,1,tweets show america following covid guidelines
People Experiencing Unsheltered Homelessness Interim Guidance,1,people experiencing unsheltered homelessness interim guidance
Here’s What It’s Like to Live in the Quarantine Zone,1,heres like live quarantine zone
Says Nancy Pelosi was Òcaught trying to include abortion funding in bill to combat coronavirus.Ó,0,says nancy pelosi caught trying include abortion funding bill combat coronavirus
IH mobilizes national innovation initiative for COVID-19 diagnostics,1,ih mobilizes national innovation initiative covid diagnostics
"Shortages Looming for Respirators, Masks, Gowns",1,shortages looming respirators masks gowns
Trump web ad usings misleading edits to create a false picture.,0,trump web ad usings misleading edits create false picture
"COVID-19 Guidance for Ophthalmologists (AAO, 2020)",1,covid guidance ophthalmologists aao
COVID-19: Mental Health Pros Come to the Aid of Frontline Comrades,1,covid mental health pros come aid frontline comrades
Freshly boiled garlic water is a cure for coronavirus.,0,freshly boiled garlic water cure coronavirus
Ventilator or Hospice? COVID-19 Strains Care System,1,ventilator hospice covid strains care system
What WHO advisor David Heymann told us about COVID-19,1,advisor david heymann told us covid
How to stop a coughing attack: Tips and when to seek help,1,stop coughing attack tips seek help
Guidelines on Breast Cancer Radiation Therapy during COVID-19 (2020),1,guidelines breast cancer radiation therapy covid
Photo shows coffins from coronavirus outbreak in Italy.,0,photo shows coffins coronavirus outbreak italy
Image claims to show dozens of coffins of Italians who have died from COVID-19.,0,image claims show dozens coffins italians died covid
Severe COVID-19 Might Injure the Heart,1,severe covid might injure heart
COVID-19 Linked to Multiple Cardiovascular Presentations,1,covid linked multiple cardiovascular presentations
"""Algeria’s COVID-19 hotline props up rapid response""",1,algerias covid hotline props rapid response
Thousands of Facebook users in the United States are sharing 1-800 numbers that are supposed to help track stimulus payments promised by the federal government under a novel coronavirus economic aid package.,0,thousands facebook users united states sharing numbers supposed help track stimulus payments promised federal government novel coronavirus economic aid package
"Cardiac Injury Common in COVID-19, Predicts Mortality",1,cardiac injury common covid predicts mortality
"Òif your child gets this virus, theyÕre going to the hospital alone in a van with people they donÕt know, to be with people they donÕt know. You will be at home without them in their time of need.Ó",0,child gets virus theyre going hospital alone van people dont know people dont know home without time need
Preventing skin damage due to face masks,1,preventing skin damage due face masks
"New coronavirus targets cells in the nose, lungs, and gut",1,new coronavirus targets cells nose lungs gut
COMMENTARY: Prioritizing Ambulatory Gynecology Care During COVID-19: The Latest Guidance,1,commentary prioritizing ambulatory gynecology care covid latest guidance
"Facebook posts shared thousands of times feature a video of U.S. officials talking to reporters, with captions claiming they are announcing the arrest of a Chinese scientist.",0,facebook posts shared thousands times feature video us officials talking reporters captions claiming announcing arrest chinese scientist
Coronavirus (COVID-19) and lupus: Risks and precautions,1,coronavirus covid lupus risks precautions
Is It Allergies or COVID-19?,1,allergies covid
Could Climate Change Make Flu Seasons Worse?,1,could climate change make flu seasons worse
Experts draw attention to the 'hidden sorrows' of COVID-19 and Parkinson’s,1,experts draw attention hidden sorrows covid parkinsons
"On the Front Line, COVID Has Them Scared to Go Home",1,front line covid scared go home
"""Novel coronavirus could live up to 3 days, depending on the surface""",1,novel coronavirus could live days depending surface
Video claiming you canÕt catch coronavirus.,0,video claiming cant catch coronavirus
COVID-19: The Immune System Can Fight Back,1,covid immune system fight back
Surgeon General: This Week Is ‘Our Pearl Harbor',1,surgeon general week pearl harbor
Coronavirus may spread faster than WHO estimate,1,coronavirus may spread faster estimate
DIY Masks: Worth the Risk? Researchers Are Conflicted,1,diy masks worth risk researchers conflicted
"""NC absentee ballots require 2 witnesses. Is that unique?""",1,nc absentee ballots require witnesses unique
"That the China-centered coronavirus had infected 2.8 million people and killed 112,000.",0,chinacentered coronavirus infected million people killed
ÒCoronavirus Ñ 22. Clintons Ñ 39.Ó,0,coronavirus clintons
App-based contact tracing may significantly reduce pandemic spread,1,appbased contact tracing may significantly reduce pandemic spread
TrumpÕs effort to blame Obama for sluggish coronavirus testing.,0,trumps effort blame obama sluggish coronavirus testing
Could Your Fitbit Help Detect the Flu?,1,could fitbit help detect flu
COVIDView Weekly Summary,1,covidview weekly summary
"Doctor With COVID-19 Recovering After Treatment, ""Lot of Luck""",1,doctor covid recovering treatment lot luck
Man Fights to Get Family Out of China Amid Outbreak,1,man fights get family china amid outbreak
COVID-19: More Hydroxychloroquine Data From France,1,covid hydroxychloroquine data france
What to Know About Coronavirus If You Have Asthma,1,know coronavirus asthma
Information for Health Departments on Reporting Cases of COVID-19,1,information health departments reporting cases covid
"""CDC Issues Domestic Travel Advisory for New York, New Jersey, and Connecticut""",1,cdc issues domestic travel advisory new york new jersey connecticut
Higher Mortality Rate in Ventilated COVID-19 Patients,1,higher mortality rate ventilated covid patients
Public Health Leadership Paramount to Emerging Coronavirus Pandemic,1,public health leadership paramount emerging coronavirus pandemic
TrumpÕs claim that he imposed the first travel ban on China.,0,trumps claim imposed first travel ban china
Public Health Communicators: Get Your Community Ready,1,public health communicators get community ready
Think You Have the Coronavirus? Here’s What to Do Next,1,think coronavirus heres next
"""Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) — United States, February 12–March 16, 2020""",1,severe outcomes among patients coronavirus disease covid united states february march
NIH study validates decontamination methods for re-use of N95 respirators,1,nih study validates decontamination methods reuse n respirators
Healthy Living at Home to Ward Off Coronavirus,1,healthy living home ward coronavirus
Canceled Blood Drives Lead to ‘Severe’ Shortage,1,canceled blood drives lead severe shortage
"""Eradicating dracunculiasis: Ethiopia investigates six suspected human cases in Gambella region""",1,eradicating dracunculiasis ethiopia investigates six suspected human cases gambella region
Want to Help COVID-19 Researchers? You Don’t Have to Leave Your Living Room,1,want help covid researchers dont leave living room
"""WHO Europe: preventing COVID-19 spread in prisons""",1,europe preventing covid spread prisons
"ÒIn Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.Ó",0,italy thrown money streets clear message whole world money enough health danger
More Medical Conferences Fall to Coronavirus,1,medical conferences fall coronavirus
If Florida banned alcohol sales due to coronavirus.,0,florida banned alcohol sales due coronavirus
"""President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.""",0,president trump covid coronavirus us cases us deaths panic level mass hysteria president obama hn virus us cases million us deaths panic level totally chill see media manipulate life
What is the best way to disinfect your phone?,1,best way disinfect phone
"""World Tuberculosis Day 2020""",1,world tuberculosis day
COVID-19 Can Trigger Serious Heart Injuries,1,covid trigger serious heart injuries
5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.,0,g exposureradiation pollution compromises structure function hemoglobin cells worsens covid pandemic
Commentary: Novel Coronavirus (2019-nCoV): FAQs for Clinicians,1,commentary novel coronavirus ncov faqs clinicians
Nevada Governor Steve Sisolak Òhas banned the use of an anti-malaria drug that might help cure coronavirus.Ó,0,nevada governor steve sisolak banned use antimalaria drug might help cure coronavirus
High-rise buildings have become human incinerators to combat the spread of the coronavirus.,0,highrise buildings become human incinerators combat spread coronavirus
Small Study Analyzes Italy Coronavirus Deaths,1,small study analyzes italy coronavirus deaths
"COVID-19 Daily: Return-to-Work Guidelines, Tips From Frontline Docs",1,covid daily returntowork guidelines tips frontline docs
"""CDC Grows SARS-CoV-2, the virus that causes COVID-19, in Cell Culture""",1,cdc grows sarscov virus causes covid cell culture
Experts Warning: Don’t Use Off-Label Medications for COVID-19 Treatment,1,experts warning dont use offlabel medications covid treatment
"‘I have never seen anything like this,’ says New York City doctor about COVID-19",1,never seen anything like says new york city doctor covid
"Mayo Clinic to advise Hilton on cleaning program protocol, training",1,mayo clinic advise hilton cleaning program protocol training
Risk of Death from COVID-19 Four Times Greater for Those with Diabetes,1,risk death covid four times greater diabetes
"ÒChina is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and thatÕs why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.Ó",0,china blame culture people eat bats snakes dogs things like viruses transmitted animal people thats china source lot viruses like sars like mers swine flu coronavirus
A post says the coronavirus can be slowed or stopped with the Òimmediate widespread use of high doses of vitamin C.Ó,0,post says coronavirus slowed stopped immediate widespread use high doses vitamin c
"COVID-19 Daily: Hospital Mortality Data, Drug Trial Raises Eyebrows",1,covid daily hospital mortality data drug trial raises eyebrows
"Coronavirus Daily Digest: March 27, 2020",1,coronavirus daily digest march
"""Meeting Postponement: Preparing Together: Keeping the World Safe, Protecting Economies, Connecting Nations""",1,meeting postponement preparing together keeping world safe protecting economies connecting nations
COVID-19 and Diabetes: Known Mechanisms and a 'New Beast'?,1,covid diabetes known mechanisms new beast
